net_2,net_4,net_6,net_9,net_12,net_15
3,3,3,3,3,3
2,2,2,2,2,2
50.6,50.6,50.6,50.6,50.6,50.6
-0.371794597139,-0.0819809835129,0.432774186168,-1.3447478109,-2.71420163361,-2.71420163361
0.0315226573834,-0.158366175476,-0.119285225149,0.489032038619,-1.07774750602,-1.07774750602
110,110,110,110,110,110
5.99948384051,18.5436999688,22.9299659388,45.3960223076,57.5180031054,57.5180031054
1.98893360742,5.32398478972,7.88765210168,10.8063439823,16.1533561612,16.1533561612
1,1,1,1,1,1
2,2,2,2,2,2
401.660577066,546.929223374,553.477869306,661.777091501,960.970926501,960.970926501
1217.33105608,1897.13090675,1941.25565344,2924.3430246,3164.41687051,3164.41687051
3,5,5,2,2,2
3,3,3,3,3,3
-1.61636845595,2.39453308883,88.2052950263,0.274319491735,0.246147333537,0.246147333537
-1.89879916996,13.9274476399,16.54667669,-1.28999814011,-2.48496339471,-2.48496339471
-0.51580458695,24.9898762465,0.232673828828,0.0534854568544,0.0771942504064,0.0771942504064
-1.50409887711,1.07211573608,0.273921745961,-0.239249177846,-1.86233300137,-1.86233300137
-1.31518888771,0.903558783739,83.7461695821,0.00376198021873,-0.0449949405922,-0.0449949405922
-0.00800072688433,-2.83570520753,5.45316940412,-0.940422333895,-1.77790521541,-1.77790521541
-1.40477322547,-0.917317165956,-15.138467578,1,1,1
-1.31772454829,-2.2123528252,-2.96933098181,2,2,2
-0.0293945681117,2.64504266678,-2.86691360974,3.21074297246,3.40401529419,3.40401529419
1,-0.895568443501,17.0710343187,2.26513908982,5.4884423944,5.4884423944
3,-4.09504466696,-14.9698367026,2,2,2
0.861939735101,-0.340356665422,11.2329177446,1,1,1
-0.953970840319,-10.7524650644,-0.317685596524,-0.489332481302,-0.338402488708,-0.338402488708
-1.6270104359,2.86995701453,-0.314998415813,4.18436820988,6.47029511616,6.47029511616
3,-0.468116652072,2.08679205494,1,1,1
1,1,1,1,1,1
-0.564346499617,5,5,-0.723660890934,-4.36024351639,-4.36024351639
-0.558844221851,-0.546482938918,-0.400061417698,0,0,0
-0.804409664716,0.687684360901,0.266532358327,0,0,0
1,-0.608399307998,-7.61951495851,0,0,0
1,0.149665399995,7.65107115514,0,0,0
-1.00118197869,2.63758622593,0.532432605559,0,0,0
0,5,5,0,0,0
0,1,1,0,0,0
0,-7.60204211563,0.677597538672,0,0,0
0,7.3731185281,-12.2763805688,0,0,0
0,4.62822432107,-1.02759766026,0,0,0
0,3.10662152547,-1.00829477441,0,0,0
0,-2.4443830567,35.9036041184,0,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,1.33163526003,0.0798952415617,0,0,0
